,asset,days_after_shock,cum_return_%
0,SP500,1,-0.94
1,SP500,2,-0.18
2,SP500,3,-0.74
3,SP500,4,-2.06
4,SP500,5,-1.24
5,WTI,1,4.67
6,WTI,2,4.82
7,WTI,3,13.73
8,WTI,4,27.61
9,WTI,5,33.05
10,GOLD,1,-3.53
11,GOLD,2,-3.29
12,GOLD,3,-4.33
13,GOLD,4,-2.8
14,GOLD,5,-3.83
15,XOM,1,-1.55
16,XOM,2,-2.85
17,XOM,3,-2.24
18,XOM,4,-1.95
19,XOM,5,-2.45
20,CVX,1,-0.44
21,CVX,2,-1.88
22,CVX,3,0.16
23,CVX,4,0.18
24,CVX,5,-0.08
25,VIX,1,9.93
26,VIX,2,-1.35
27,VIX,3,10.77
28,VIX,4,37.55
29,VIX,5,18.94
30,JETS,1,-0.97
31,JETS,2,-1.37
32,JETS,3,-5.85
33,JETS,4,-8.48
34,JETS,5,-6.97
