,window,window_label,pair_label,long_asset,short_asset,long_ret_%,short_leg_%,combined_%,n_days,caveat
0,pre_event,Pre-event,Long WTI / Short XOM,WTI,XOM,16.92,-25.17,-8.24,39,"Pre-cost. No borrow, roll, or slippage costs included."
1,pre_event,Pre-event,Long WTI / Short XLE,WTI,XLE,16.92,-22.5,-5.57,39,"Pre-cost. No borrow, roll, or slippage costs included."
2,pre_event,Pre-event,Long ITA / Short SP500,ITA,SP500,9.78,-0.3,9.48,39,"Pre-cost. No borrow, roll, or slippage costs included."
3,pre_event,Pre-event,Long BWET / Short WTI,BWET,WTI,205.93,-16.92,189.0,39,"Pre-cost. No borrow, roll, or slippage costs included."
4,shock,Hormuz Closure,Long WTI / Short XOM,WTI,XOM,32.94,1.45,34.39,33,"Pre-cost. No borrow, roll, or slippage costs included."
5,shock,Hormuz Closure,Long WTI / Short XLE,WTI,XLE,32.94,0.16,33.09,33,"Pre-cost. No borrow, roll, or slippage costs included."
6,shock,Hormuz Closure,Long ITA / Short SP500,ITA,SP500,-8.54,-2.32,-10.86,33,"Pre-cost. No borrow, roll, or slippage costs included."
7,shock,Hormuz Closure,Long BWET / Short WTI,BWET,WTI,71.1,-32.94,38.17,33,"Pre-cost. No borrow, roll, or slippage costs included."
8,reopen,False Dawn,Long WTI / Short XOM,WTI,XOM,25.31,-5.39,19.92,10,"Pre-cost. No borrow, roll, or slippage costs included."
9,reopen,False Dawn,Long WTI / Short XLE,WTI,XLE,25.31,-8.42,16.89,10,"Pre-cost. No borrow, roll, or slippage costs included."
10,reopen,False Dawn,Long ITA / Short SP500,ITA,SP500,-5.77,-1.16,-6.93,10,"Pre-cost. No borrow, roll, or slippage costs included."
11,reopen,False Dawn,Long BWET / Short WTI,BWET,WTI,9.9,-25.31,-15.41,10,"Pre-cost. No borrow, roll, or slippage costs included."
12,correction,Paradox Correction,Long WTI / Short XOM,WTI,XOM,-14.3,4.26,-10.04,20,"Pre-cost. No borrow, roll, or slippage costs included."
13,correction,Paradox Correction,Long WTI / Short XLE,WTI,XLE,-14.3,4.35,-9.95,20,"Pre-cost. No borrow, roll, or slippage costs included."
14,correction,Paradox Correction,Long ITA / Short SP500,ITA,SP500,8.86,-4.84,4.02,20,"Pre-cost. No borrow, roll, or slippage costs included."
15,correction,Paradox Correction,Long BWET / Short WTI,BWET,WTI,-8.8,14.3,5.51,20,"Pre-cost. No borrow, roll, or slippage costs included."
16,diplomacy,Volatile Diplomacy,Long WTI / Short XOM,WTI,XOM,-7.9,1.59,-6.31,10,"Pre-cost. No borrow, roll, or slippage costs included."
17,diplomacy,Volatile Diplomacy,Long WTI / Short XLE,WTI,XLE,-7.9,-0.44,-8.34,10,"Pre-cost. No borrow, roll, or slippage costs included."
18,diplomacy,Volatile Diplomacy,Long ITA / Short SP500,ITA,SP500,1.69,2.22,3.9,10,"Pre-cost. No borrow, roll, or slippage costs included."
19,diplomacy,Volatile Diplomacy,Long BWET / Short WTI,BWET,WTI,20.54,7.9,28.44,10,"Pre-cost. No borrow, roll, or slippage costs included."
