,Asset,Shock %,Correction %,Diplomacy %,Shock Max DD %,Shock Vol %,Day-1 Feb 28 %,Day-1 Jun 10 %
0,WTI Crude,+32.9%,-14.3%,-7.9%,-19.2%,+91.8%,0.0%,+2.1%
1,S&P 500,+2.3%,+4.8%,-2.2%,-7.8%,+16.3%,0.0%,-1.6%
2,Gold,-9.6%,-1.5%,-5.8%,-17.4%,+31.7%,0.0%,-3.6%
3,Exxon (XOM),-1.4%,-4.3%,-1.6%,-13.1%,+27.2%,0.0%,+1.1%
4,Chevron (CVX),-0.8%,-3.4%,+0.8%,-12.4%,+25.8%,N/A,N/A
5,Defense ETF (ITA),-8.5%,+8.9%,+1.7%,-15.8%,+26.0%,0.0%,-2.4%
6,Tanker ETF (BWET),+71.1%,-8.8%,+20.5%,-30.6%,+163.1%,N/A,N/A
7,Treasury ETF (TLT),-3.3%,+0.2%,+0.3%,-4.4%,+10.1%,0.0%,-0.3%
8,Energy Sector (XLE),-0.2%,-4.3%,+0.4%,-10.9%,+20.8%,N/A,N/A
9,Airlines ETF,-3.9%,+13.8%,+2.1%,-14.7%,+35.5%,0.0%,-4.6%
